Assessment Instrument,Assessment Instrument Version,Item ID,Short Name,HIT Standard Name,HIT Standard Version,Item HIT Code,Item HIT Text,Item Subsets,Response HIT Code,Assessment Response Codes,Response HIT Text
IRF-PAI,2,1,{Facility/provider} information,LOINC,2.64,85396-0,IRF-PAI - Facility information [CMS Assessment],IA|ID,,,
IRF-PAI,2,10,Marital status,LOINC,2.64,45404-1,Marital status,IA|ID,LA4288-2|LA47-6|LA48-4|LA49-2|LA51-8,4|1|2|3|5,Separated|Never married|Married|Widowed|Divorced
IRF-PAI,2,10,Marital status,SNOMED,SNOMED CT United States Edition 20170901,,,IA|ID,125725006|13184001|20295000|33553000|87915002,1|4|5|3|2,"Marital status: single, never married (finding)|Separated (finding)|Divorced (finding)|Widowed (finding)|Married (finding)"
IRF-PAI,2,11,ZIP code of {patient's/resident's} pre-hospital residence,LOINC,2.64,52539-4,Prior zip code,IA|ID,,,
IRF-PAI,2,12,Admission date,LOINC,2.64,52455-3,Admission date,IA,,,
IRF-PAI,2,13,Assessment reference date,LOINC,2.64,52456-1,Assessment reference date,IA|ID,,,
IRF-PAI,2,14,Admission class,LOINC,2.64,85397-8,Inpatient rehabilitation facility admission [CMS Assessment],IA,LA18068-9|LA27331-0|LA27332-8|LA27335-1|LA4395-5,04|01|02|05|03,Unplanned discharge|Initial rehab|Evaluation|Continuing rehabilitation|Readmission
IRF-PAI,2,15A,Admit from,LOINC,2.64,85398-6,Admitted from,IA,LA10000-0|LA10883-9|LA22835-5|LA27336-9|LA27337-7|LA27338-5|LA27339-3|LA27340-1|LA27341-9|LA27342-7|LA27344-3|LA27346-8|LA27347-6|LA27349-2,63|61|66|01|02|03|04|06|50|51|62|64|65|99,"Long-term care hospital (LTCH)|Swing bed|Critical Access Hospital|Home (private home/apt., board/care, assisted living, group home, transistional living)|Short-term General Hospital|Skilled nursing facility (SNF)|Intermediate care|Home - under care of organized home health service organization|Hospice (home)|Hospice (institutional facility)|Another Inpatient Rehabilitation Facility|Medicaid Nursing Facility|Inpatient Psychiatric Facility|Not listed"
IRF-PAI,2,16A,Pre-hospital living setting,LOINC,2.64,85399-4,Prior residence,IA,LA10000-0|LA10883-9|LA22835-5|LA27336-9|LA27337-7|LA27338-5|LA27339-3|LA27340-1|LA27341-9|LA27342-7|LA27344-3|LA27346-8|LA27347-6|LA27349-2,63|61|66|01|02|03|04|06|50|51|62|64|65|99,"Long-term care hospital (LTCH)|Swing bed|Critical Access Hospital|Home (private home/apt., board/care, assisted living, group home, transistional living)|Short-term General Hospital|Skilled nursing facility (SNF)|Intermediate care|Home - under care of organized home health service organization|Hospice (home)|Hospice (institutional facility)|Another Inpatient Rehabilitation Facility|Medicaid Nursing Facility|Inpatient Psychiatric Facility|Not listed"
IRF-PAI,2,17,Pre-hospital living with,SNOMED,SNOMED CT United States Edition 20170901,,,IA,105529008|224131009|224133007|74964007,01|03|02|05,Lives alone (finding)|Lives with friends (finding)|Lives with family (finding)|Other (qualifier value)
